Time(t),Acceleration(a),Velocity(v),Height(x)
31,60,0,161,0,069,-0,311
31,80,0,155,0,100,-0,294
32,00,0,147,0,130,-0,271
32,20,0,135,0,157,-0,242
32,40,0,121,0,181,-0,208
32,60,0,104,0,202,-0,170
32,80,0,085,0,219,-0,128
33,00,0,064,0,232,-0,083
33,20,0,041,0,240,-0,036
33,40,0,018,0,244,0,013
33,60,-0,006,0,242,0,061
33,80,-0,031,0,236,0,109
34,00,-0,055,0,225,0,155
34,20,-0,078,0,210,0,199
34,40,-0,099,0,190,0,239
34,60,-0,119,0,166,0,274
34,80,-0,137,0,139,0,305
35,00,-0,152,0,108,0,329
35,20,-0,165,0,075,0,348
35,40,-0,174,0,040,0,359
35,60,-0,180,0,004,0,364
35,80,-0,182,-0,032,0,361
36,00,-0,181,-0,068,0,351
36,20,-0,176,-0,103,0,334
36,40,-0,167,-0,137,0,310
36,60,-0,155,-0,168,0,280
36,80,-0,140,-0,196,0,243
37,00,-0,122,-0,220,0,202
37,20,-0,101,-0,240,0,156
37,40,-0,078,-0,256,0,106
37,60,-0,053,-0,266,0,054
37,80,-0,027,-0,272,0,000
38,00,-0,000,-0,272,-0,054
38,20,0,027,-0,266,-0,108
38,40,0,054,-0,255,-0,160
38,60,0,080,-0,239,-0,210
38,80,0,105,-0,218,-0,255
39,00,0,128,-0,193,-0,297
39,20,0,148,-0,163,-0,332
39,40,0,166,-0,130,-0,361
39,60,0,181,-0,094,-0,384
39,80,0,192,-0,056,-0,399
40,00,0,199,-0,016,-0,406
40,20,0,203,0,025,-0,405
40,40,0,202,0,065,-0,396
40,60,0,198,0,105,-0,379
40,80,0,189,0,143,-0,354
41,00,0,177,0,178,-0,322
41,20,0,161,0,211,-0,283
41,40,0,142,0,239,-0,238
41,60,0,119,0,263,-0,188
41,80,0,094,0,281,-0,134
42,00,0,067,0,295,-0,076
42,20,0,038,0,302,-0,016
42,40,0,008,0,304,0,044
42,60,-0,022,0,300,0,105
42,80,-0,052,0,289,0,164
43,00,-0,082,0,273,0,220
43,20,-0,110,0,251,0,272
43,40,-0,136,0,224,0,320
43,60,-0,160,0,192,0,361
43,80,-0,181,0,155,0,396
44,00,-0,198,0,116,0,423
44,20,-0,211,0,074,0,442
44,40,-0,221,0,029,0,452
44,60,-0,226,-0,016,0,454
44,80,-0,227,-0,061,0,446
45,00,-0,223,-0,106,0,429
45,20,-0,215,-0,149,0,404
45,40,-0,202,-0,189,0,370
45,60,-0,185,-0,226,0,328
45,80,-0,164,-0,259,0,280
46,00,-0,140,-0,287,0,225
46,20,-0,113,-0,309,0,166
46,40,-0,083,-0,326,0,102
46,60,-0,051,-0,336,0,036
46,80,-0,018,-0,340,-0,032
47,00,0,016,-0,337,-0,099
47,20,0,050,-0,327,-0,166
47,40,0,083,-0,310,-0,229
47,60,0,115,-0,287,-0,289
47,80,0,145,-0,258,-0,344
48,00,0,172,-0,224,-0,392
